epoch,train_Acc,train_F1,train_Prec,train_Rec,train_Loss,val_Acc,val_F1,val_Prec,val_Rec,val_Loss
1,0.35483869910240173,0.32205498218536377,0.3645320236682892,0.3580246865749359,6.212558064409482,0.3333333432674408,0.20000000298023224,0.1428571492433548,0.3333333432674408,6.949162006378174
2,0.37634408473968506,0.3551282286643982,0.39027780294418335,0.38496074080467224,6.369160282996393,0.3333333432674408,0.20000000298023224,0.1428571492433548,0.3333333432674408,10.383977890014648
3,0.35483869910240173,0.33386126160621643,0.33418717980384827,0.36251404881477356,5.137134921166204,0.3333333432674408,0.1818181872367859,0.125,0.3333333432674408,9.757115364074707
4,0.37634408473968506,0.3759596049785614,0.3780912458896637,0.38496074080467224,4.740449520849412,0.3333333432674408,0.1818181872367859,0.125,0.3333333432674408,10.843179702758789
5,0.40860214829444885,0.40879547595977783,0.4113725423812866,0.41526374220848083,4.297352965160083,0.4444444477558136,0.31515151262283325,0.4583333432674408,0.4166666865348816,11.676761627197266
6,0.4193548262119293,0.4300605058670044,0.43037399649620056,0.4298540949821472,4.573817235167309,0.3333333432674408,0.24444445967674255,0.261904776096344,0.3055555522441864,8.90366268157959
7,0.3978494703769684,0.40119442343711853,0.3960573673248291,0.40965208411216736,4.347097973669729,0.2222222238779068,0.1785714328289032,0.17777778208255768,0.1944444477558136,6.7919769287109375
8,0.5161290168762207,0.5196376442909241,0.5194764137268066,0.523007869720459,3.781613847260834,0.1111111119389534,0.0833333358168602,0.0833333358168602,0.0833333358168602,7.275083065032959
9,0.5161290168762207,0.5257212519645691,0.531345009803772,0.523007869720459,3.316308493255287,0.1111111119389534,0.0833333358168602,0.0833333358168602,0.0833333358168602,7.478341102600098
10,0.49462366104125977,0.4974856376647949,0.49462366104125977,0.5028058290481567,3.1849835611158803,0.1111111119389534,0.0833333358168602,0.0833333358168602,0.0833333358168602,7.624021053314209
