epoch,train_accuracy_score,train_loss,train_precision_score,train_recall_score,train_f1_score,valid_accuracy_score,valid_loss,valid_precision_score,valid_recall_score,valid_f1_score
1,0.22580645161290322,1.124993146106761,0.2016184593260777,0.22580645161290322,0.20860444812057713,0.4444444444444444,1.0907771587371826,0.19753086419753085,0.4444444444444444,0.27350427350427353
2,0.5376344086021505,0.9996263570682977,0.5404998227578873,0.5376344086021505,0.5362350292181768,0.5555555555555556,1.018043041229248,0.4444444444444444,0.5555555555555556,0.4444444444444444
3,0.7311827956989247,0.9095660986438874,0.7290033825591947,0.7311827956989247,0.7283113185824036,0.6666666666666666,0.9533827304840088,0.8095238095238095,0.6666666666666666,0.638047138047138
4,0.8387096774193549,0.8190510516525596,0.837423470700211,0.8387096774193549,0.8342281028722256,0.7777777777777778,0.933923065662384,0.8518518518518517,0.7777777777777778,0.7703703703703704
5,0.8064516129032258,0.7599149295078811,0.8078735972474111,0.8064516129032258,0.8038890471932635,0.6666666666666666,0.9298765659332275,0.7111111111111111,0.6666666666666666,0.6666666666666666
6,0.8817204301075269,0.6681255441839977,0.8826120071684589,0.8817204301075269,0.8811234581220556,0.4444444444444444,0.9126338958740234,0.36507936507936506,0.4444444444444444,0.3481481481481481
7,0.9139784946236559,0.5969471482820409,0.9126267281105991,0.9139784946236559,0.9126404904393519,0.5555555555555556,0.9011531472206116,0.8095238095238095,0.5555555555555556,0.5259259259259259
8,0.8817204301075269,0.5864195234032088,0.8834892705860447,0.8817204301075269,0.8792167638443876,0.5555555555555556,0.887761652469635,0.8095238095238095,0.5555555555555556,0.5259259259259259
9,0.9032258064516129,0.5302143298810528,0.9036816807888608,0.9032258064516129,0.9028502530044276,0.7777777777777778,0.8422165513038635,0.8666666666666667,0.7777777777777778,0.7791005291005291
10,0.946236559139785,0.4926710731239729,0.9465330487033523,0.946236559139785,0.9462291520067158,0.7777777777777778,0.8112750053405762,0.8666666666666667,0.7777777777777778,0.7791005291005291
11,0.946236559139785,0.4617746151903624,0.9504728053115151,0.946236559139785,0.9463930672695129,0.7777777777777778,0.8088155388832092,0.8666666666666667,0.7777777777777778,0.7791005291005291
12,0.989247311827957,0.39290159620264525,0.9895635673624289,0.989247311827957,0.9892261153150862,0.6666666666666666,0.8315993547439575,0.7555555555555555,0.6666666666666666,0.6574074074074073
13,0.967741935483871,0.3670264838203307,0.9683744465528147,0.967741935483871,0.9678999543226793,0.5555555555555556,0.8406673669815063,0.7222222222222222,0.5555555555555556,0.5111111111111111
