,accuracy_score,loss,precision_score,recall_score,f1_score
0,0.41935483870967744,1.1053702472358622,0.41685744016649323,0.41935483870967744,0.4082179826673086
1,0.6774193548387096,0.978084941705068,0.6815816857440166,0.6774193548387096,0.6781145717463849
2,0.8602150537634409,0.8553284477162105,0.8615675198279104,0.8602150537634409,0.8604379130739266
3,0.9139784946236559,0.7498867261794305,0.9149370790499822,0.9139784946236559,0.9140064940251115
4,0.978494623655914,0.6765957218344494,0.978494623655914,0.978494623655914,0.978494623655914
5,0.978494623655914,0.5946022932247449,0.9797235023041475,0.978494623655914,0.9784748576850095
6,0.9247311827956989,0.5395380694379088,0.9290322580645162,0.9247311827956989,0.9245920303605313
7,0.946236559139785,0.5007191005573478,0.948712388181079,0.946236559139785,0.9461610354300604
8,1.0,0.4273372337382327,1.0,1.0,1.0
9,0.989247311827957,0.397383403073075,0.9895635673624289,0.989247311827957,0.9892448427836006
10,0.978494623655914,0.3764132959868318,0.9797235023041475,0.978494623655914,0.9784748576850095
11,0.989247311827957,0.3065469165643056,0.9895635673624289,0.989247311827957,0.9892261153150862
12,1.0,0.29809119944931356,1.0,1.0,1.0
13,1.0,0.2867774139809352,1.0,1.0,1.0
14,1.0,0.24972813872880834,1.0,1.0,1.0
15,1.0,0.2565998069701656,1.0,1.0,1.0
16,1.0,0.19577952658617367,1.0,1.0,1.0
17,1.0,0.2226157784461975,1.0,1.0,1.0
18,1.0,0.19409789737834726,1.0,1.0,1.0
19,1.0,0.16509871953918087,1.0,1.0,1.0
20,1.0,0.1609330899933333,1.0,1.0,1.0
21,1.0,0.16226147467731147,1.0,1.0,1.0
22,1.0,0.16051432842849403,1.0,1.0,1.0
23,1.0,0.13145013522076351,1.0,1.0,1.0
24,1.0,0.14584303286767775,1.0,1.0,1.0
25,1.0,0.13426899749745605,1.0,1.0,1.0
26,1.0,0.12307339049475167,1.0,1.0,1.0
27,1.0,0.11499525590609479,1.0,1.0,1.0
28,1.0,0.11627421584180607,1.0,1.0,1.0
29,1.0,0.11034696324858614,1.0,1.0,1.0
30,1.0,0.09772775594585685,1.0,1.0,1.0
31,1.0,0.0962640273795333,1.0,1.0,1.0
32,1.0,0.07950076717202381,1.0,1.0,1.0
33,1.0,0.08606832322253975,1.0,1.0,1.0
34,1.0,0.09719145658516115,1.0,1.0,1.0
35,1.0,0.07345603518588568,1.0,1.0,1.0
36,1.0,0.08867996226074876,1.0,1.0,1.0
37,1.0,0.08518187261076383,1.0,1.0,1.0
38,1.0,0.07179542102159993,1.0,1.0,1.0
39,1.0,0.0725206530863239,1.0,1.0,1.0
40,1.0,0.07456495885246543,1.0,1.0,1.0
41,1.0,0.060619141065305276,1.0,1.0,1.0
42,1.0,0.06499155490629134,1.0,1.0,1.0
43,1.0,0.060555435396650786,1.0,1.0,1.0
44,1.0,0.05962245034114007,1.0,1.0,1.0
45,1.0,0.05458425065522553,1.0,1.0,1.0
46,1.0,0.05186499903599421,1.0,1.0,1.0
47,1.0,0.0722670635228516,1.0,1.0,1.0
48,1.0,0.04880287702525816,1.0,1.0,1.0
49,1.0,0.052172794297177305,1.0,1.0,1.0
